Movie Name, IMDb Rating, Popularity, Release Date, Box Office, Runtime, Genre, Director, Cast, Production Company, Country, Language
Akaash Vani,6.3,,"January 25, 2013 (India)",,2 hours 29 minutes,"['Drama', 'Romance']",['Luv Ranjan'],"['Kartik Aaryan', 'Nushrratt Bharuccha', 'Sunny Singh']","['Panorama Studios', 'Wide Frame Pictures']",India,['Hindi']
Ek Saath Do Do,,,June 2024 (India),,,"['Action', 'Comedy']",['Anees Bazmee'],[],[],India,[]
Generation Aami,7.6,,"November 23, 2018 (India)",,1 hour 58 minutes,['Drama'],['Mainak Bhaumik'],"['Rwitobroto Mukherjee', 'Sauraseni Maitra', 'Aparajita Adhya']",[],India,['Bengali']
Gupt Gyan,,,,,,['Romance'],[],"['Sharanya Jit Kaur', 'Aisha Pathan', 'Shreyash Khare']",[],,['Hindi']
Khel,4.1,,"November 11, 2003 (Kuwait)","$1,678,216",2 hours 54 minutes,"['Action', 'Crime', 'Drama']",['Yusuf Khan'],"['Sunny Deol', 'Suniel Shetty', 'Ajay Jadeja']","['Galaxy Entertainment Corp. Ltd.', 'Popcorn Motion Pictures']",India,['Hindi']
Aarkkariyam,6.9,,,"$12,191",2 hours 6 minutes,"['Crime', 'Drama']",['Sanu John Varughese'],"['Biju Menon', 'Sharafudheen', 'Saiju Kurup']","['Moonshot Entertainments', 'OPM Cinemas']",,['Malayalam']
Jigyaasa,3.6,,,,2 hours 27 minutes,['Drama'],['Faisal Saif'],"['Nassar Abdulla', 'Rakesh Bedi', 'Hrishitaa Bhatt']","['Chand Films', 'Das Music']",,"['Hindi', 'Indian Sign Language']"
Sadgati,7.9,,,,45 minutes,['Drama'],['Satyajit Ray'],"['Om Puri', 'Smita Patil', 'Mohan Agashe']",[],,['Hindi']
The Story of Plastic,7.9,,,,1 hour 35 minutes,['Documentary'],['Deia Schlosberg'],"['Delphine Levi Alvares', 'Yvette Arellano', 'Prigi Arisandi']",[],,['English']
Pyali,6.9,,,,1 hour 57 minutes,"['Comedy', 'Drama', 'Family']","['Babitha Mathew', 'Rinn']","['Barbiee Sharma', 'George Jacob', 'Arjun']",[],,"['Malayalam', 'Hindi']"
Kushi,7.9,,"May 19, 2000 (India)",,2 hours 58 minutes,"['Comedy', 'Drama', 'Romance']",['S.J. Suryah'],"['Jyotika', 'Joseph Vijay', 'Mumtaj']",[],India,['Tamil']
Dil Ka Kya Kasoor,5.6,,"January 14, 1992 (India)",,2 hours 37 minutes,"['Musical', 'Romance']","[""Lawrence D'Souza""]","['Prithvi Vazir', 'Divya Bharti', 'Sanam']",[],India,['Hindi']
Yakshini,9.5,,,,,"['Horror', 'Thriller']",[],[],[],,['Hindi']
Kalisundam Raa,7.3,,,,2 hours 36 minutes,['Drama'],['Uday Shankar'],"['Venkatesh Daggubati', 'K. Viswanath', 'Ranganath']",[],,['Telugu']
Aafat-e-Ishq,4.4,,"October 29, 2021 (India)",,1 hour 54 minutes,"['Comedy', 'Drama', 'Thriller']",['Indrajit Nattoji'],"['Neha Sharma', 'Ila Arun', 'Namit Das']","['Blink Pictures', 'Zee Studios']",India,['Hindi']
Hero of Nation Chandra Shekhar Azad,9.2,,"March 25, 2022 (India)",,,['Biography'],['Raja Randeep Giri'],"['Ahmad Kabir Shadan', 'Sood Riitu', 'Raza Murad']","['Bloomfair Production', 'Lalmani Films']",India,['Hindi']
Train to Pakistan,6.6,,"November 6, 1998 (United States)",,1 hour 51 minutes,"['Drama', 'War']",['Pamela Rooks'],"['Mohan Agashe', 'Nirmal Pandey', 'Rajit Kapoor']","['National Film Development Corporation of India (NFDC)', 'Pan Pictures', 'Rooks A.V.']",,['Hindi']
Ajmer Kand,8.4,,,,1 hour 55 minutes,['Crime'],['Sachin Kadam'],"['Mayur Chavan', 'Raju Dandade', 'Santosh H']","['Kingmaker Entertainment', 'Dr Shantaram Karande Fans Production', 'Pransh Cinematics']",,['Hindi']
Vaazhl,6.8,,,,1 hour 52 minutes,['Drama'],['Arun Prabhu Purushothaman'],"['Aahrav', 'Pradeep Anthony', 'T.J. Bhanu']",[],,['Tamil']
Mangalsutra,6.5,,,,2 hours 1 minute,"['Horror', 'Thriller']",['Vijay B.'],"['Rekha', 'Anant Nag', 'Prema Narayan']",[],,['Hindi']
The Swan Princess: Christmas,3.1,,,,1 hour 23 minutes,"['Animation', 'Adventure', 'Comedy']",['Richard Rich'],"['Jennifer Miller', 'Joseph Medrano', 'David Lodge']","['Crest Animation Productions', 'Nest Family Entertainment', 'Sony Pictures Releasing']",,['English']
Akhada,8.7,,"June 23, 2022 (India)",,,"['Drama', 'Sport']",[],"['Sandeep Goyat', 'Megha Sharma', 'Mohit Nain']",[],India,['Haryanvi']
"Good Boy, Bad Boy",3.9,,"May 11, 2007 (India)","$2,602,490",1 hour 55 minutes,"['Comedy', 'Musical']",['Ashwini Chaudhary'],"['Tusshar Kapoor', 'Emraan Hashmi', 'Isha Sharvani']",[],India,['Hindi']
Sab Satrangi,9.2,,,,,['Drama'],[],"['Mohit Kumar', 'Kangan Baruah Nangia', 'Jayshree Arora']",[],,['Hindi']
Aitbaar,6.9,,,,2 hours 13 minutes,"['Romance', 'Thriller']",['Mukul Anand'],"['Raj Babbar', 'Dimple Kapadia', 'Danny Denzongpa']",[],,['Hindi']
Sanki,,,,,,['Thriller'],['Anurag Singh'],[],"['Karishma Internationals', 'Nadiadwala Grandson Entertainment']",,['Hindi']
Mission Istaanbul: Darr Ke Aagey Jeet Hai!,3.5,,"July 25, 2008 (India)","$3,013,001",2 hours 10 minutes,"['Action', 'Adventure', 'Drama']",['Apoorva Lakhia'],"['Vivek Oberoi', 'Zayed Khan', 'Shriya Saran']","['Balaji Telefilms', 'Popcorn Motion Pictures']",India,"['Hindi', 'English']"
Baban,7.2,,,,2 hours,['Action'],['Bhaurao Nanasaheb Karhade'],"['Dhammadip Kamble', 'Bhausaheb Shinde', 'Abhay Chavan']","['Chitraksha Films', 'The Folk Confluence Entertainment Group']",,['Marathi']
Lady Queen Gents Parlour,9.2,,,,2 hours 50 minutes,['Drama'],[],"['Madhurima Basak', 'Tarit Baybarta', 'Rohaan Bhattacharjee']",[],,['Bengali']
Coronavirus,5.1,,,,1 hour 23 minutes,['Drama'],"['Agasthya Manju', 'Ram Gopal Varma']",[],"['CM Creations', 'Green Metro']",,['Telugu']
Ek Cute See Love Story,,,,,,['Romance'],[],[],[],,['Hindi']
The Boy,,,,,11 minutes,"['Short', 'Drama']",['Arunkumar Senthil'],"['Vinodhini Vaidynathan', 'Delhi Ganesh', 'Hitesh S. Bharathwaaj']",[],,"['Tamil', 'English']"
Purani Haveli,5.2,,"February 7, 1989 (India)",,2 hours 19 minutes,"['Horror', 'Musical']","['Shyam Ramsay', 'Tulsi Ramsay']","['Deepak Parashar', 'Amita Nangia', 'Shubha']",[],India,['Hindi']
Kaaki Sattai,5.8,,"February 27, 2015 (India)","$59,021",2 hours 36 minutes,['Action'],"['R.S. Durai Senthilkumar', 'Harish Ram L.H.']","['Sivakarthikeyan', 'Prabhu', 'Sri Divya']",[],India,['Tamil']
Firrkie,,,,,1 hour 45 minutes,['Thriller'],['Ankush Bhatt'],"['Jackie Shroff', 'Neil Nitin Mukesh', 'Kay Kay Menon']",[],India,['Hindi']
Aani Kay Hava,8.9,,"July 16, 2019 (India)",,22 minutes,"['Comedy', 'Romance']",[],[],[],India,['Marathi']
The Great Indian Road Movie,8.8,,,,2 hours,"['Adventure', 'Drama', 'Family']",['Sohan Lal India'],"['Vijay Anand', 'Anila', 'Master Ashray']",[],,"['Malayalam', 'Hindi', 'Tamil', 'Punjabi', 'Assamese']"
Appuchi Gramam,6.2,,,,2 hours 48 minutes,['Sci-Fi'],['Vi Anand'],"[""'Ganja' Karuppu"", 'Raja Krishnamoorthy', 'G.M. Kumar']",[],,['Tamil']
Bullet,6.9,,,,2 hours 4 minutes,"['Action', 'Crime', 'Thriller']",['Vijay Anand'],"['Dev Anand', 'Parveen Babi', 'Rakesh Roshan']",[],,['Hindi']
Sirai Paravai,7.4,,,,,[],['Manobala'],"['Lakshmi', 'Radhika Sarathkumar', 'Senthil']",[],,['Tamil']
Thiruvilayadal,8.1,,,,2 hours 34 minutes,"['Drama', 'Family', 'Musical']",['A.P. Nagarajan'],"['Shivaji Ganesan', 'Savitri', 'K.B. Sundarambal']","['Sri Vijayalakshmi Pictures', 'Wide Angle Media']",,['Tamil']
The 14th February & Beyond,9.0,,,,59 minutes,['Documentary'],['Utpal Kalal'],"['Sudhir Bhave', 'Rajiv Malhotra', 'Nityananda Misra']",[],,['English']
Arappatta Kettiya Graamathil,7.4,,"May 1, 1986 (India)",,1 hour 49 minutes,['Drama'],['P. Padmarajan'],"['Mammootty', 'Ashokan', 'Nedumudi Venu']",[],India,['Malayalam']
Adulting,7.6,,"April 18, 2018 (India)",,2 hours 7 minutes,['Comedy'],[],"['Aisha Ahmed', 'Yashaswini Dayama', 'Viraj Ghelani']","['Dice Media', 'Pocket Aces Pictures']",India,"['English', 'Hindi']"
Thamizhum Saraswathiyhum,7.8,,"July 12, 2021 (India)",,22 minutes,['Drama'],[],"['Nakshatra Nagesh', 'Deepak Dinkar', 'Rekha Krishnappa']",[],India,['Tamil']
Selfie with Bajrangi,2.5,,,,,['Animation'],[],[],[],,['Hindi']
Rangili,,,,,,['Horror'],['Santosh Chimaji Jadhav'],"['Ajay Bafna', 'Suresh Choudhury', 'Pallavi Jadhav']",[],,['Hindi']
Taalismaan,,,,,,['Fantasy'],['Ram Madhvani'],[],"['NH Studioz', 'Ram Madhvani Films', 'Vinod Chopra Films']",,['Hindi']
Rab Di Mehhar,7.6,,,,2 hours 2 minutes,['Romance'],['Abhay Chhabra'],"['Ajay Sarkaria', 'Kashish Rai', 'Dheeraj Kumar']","['Digiana Films Production', 'K Rai Productions']",,['Punjabi']
Ek Daav Dhobhipachhad,7.2,,"December 18, 2008 (India)",,2 hours 26 minutes,['Comedy'],['Satish Rajwade'],"['Mukta Barve', 'Subodh Bhave', 'Bharat Ganeshpure']",[],India,['Marathi']
Drohi,6.5,,,,1 hour 49 minutes,"['Action', 'Drama']",['Sudha Kongara'],"['Poonam Bajwa', 'Tanikella Bharani', 'S.P.B. Charan']",[],,['Tamil']
Kismat,4.1,,"February 20, 2004 (India)",,2 hours 23 minutes,"['Action', 'Drama']",['Guddu Dhanoa'],"['Bobby Deol', 'Priyanka Chopra Jonas', 'Kabir Bedi']","['Pokhriyal Productions', 'Time Films']",India,['Hindi']
Plan,,,,,,['Drama'],[],"['Gehana Vasisth', 'Ruks Khandagale', 'Karan Mehra']",[],,['Hindi']
Gang,6.2,,,,2 hours 47 minutes,"['Action', 'Crime', 'Drama']",['Mazhar Khan'],"['Jackie Shroff', 'Nana Patekar', 'Kumar Gaurav']",[],,['Hindi']
Alma Matters - Inside the IIT Dream,8.3,,"May 14, 2021 (India)",,2 hours 30 minutes,['Documentary'],[],"['Lokesh Deshmukh', 'Kevin Banker', 'Adarsh Upadhyay']","['Camera and Shorts', 'Dopamine Media & Entertainment']",India,"['English', 'Hindi']"
Rocky,6.5,,"May 8, 1981 (India)",,2 hours 31 minutes,"['Action', 'Romance']","['Sunil Dutt', 'Raj Khosla']","['Sanjay Dutt', 'Reena Roy', 'Tina Ambani']",[],India,['Hindi']
Aaghaaz,4.6,,,,2 hours 33 minutes,"['Action', 'Crime', 'Drama']",['Yogesh Ishwar'],"['Suniel Shetty', 'Sushmita Sen', 'Namrata Shirodkar']",[],,['Hindi']
Millind Gaba: She Don't Know,,,,,3 minutes,['Music'],['Shabby'],[],[],,['Hindi']
Pepper Chicken,5.3,,,,,['Thriller'],['Ratan Sil Sarma'],"['Dipannita Sharma', 'Boloram Das', 'Monuj Borkotoky']",[],,['Hindi']
Laila Aur Saat Geet,6.6,,"January 11, 2021 (India)",,1 hour 36 minutes,['Drama'],['Pushpendra Singh'],"['Navjot Randhawa', 'Sadakkit Bijran', 'Shahnawaz Bhat']",[],India,"['Haryanvi', 'Hindi']"
Innale Vare,6.1,,"June 8, 2022 (India)",,2 hours 16 minutes,"['Drama', 'Thriller']",['Jis Joy'],"['Asif Ali', 'Antony Varghese', 'Nimisha Sajayan']",[],India,['Malayalam']
Raag Desh,8.1,,"July 28, 2017 (India)","$181,430",2 hours 15 minutes,"['Action', 'Drama', 'History']",['Tigmanshu Dhulia'],"['Kunal Kapoor', 'Amit Sadh', 'Mohit Marwah']","['Rajya Sabha Television', 'Tigmanshu Dhulia Films']",India,['Hindi']
Man Udhan Varyache,9.6,,,,,['Drama'],[],"['Varsha Usgaonkar', 'Uday Tikekar', 'Kashyap Parulekar']",[],,['Marathi']
Biwi No. 1,5.7,,"May 28, 1999 (India)",,2 hours 39 minutes,"['Comedy', 'Drama', 'Romance']",['David Dhawan'],"['Karisma Kapoor', 'Salman Khan', 'Anil Kapoor']",[],India,['Hindi']
Film Companion: Movie Reviews,4.2,,,,,['Talk-Show'],[],[],[],,['English']
Parvarrish: Kuchh Khattee Kuchh Meethi,7.2,,"November 21, 2011 (India)",,,"['Drama', 'Family']",[],"['Namrata Ramsay', 'Athar Siddiqui', 'Aaryan Harnot']",[],India,['Hindi']
Antaryatri Mahapurush (The Walking God),8.8,,"July 29, 2022 (India)",,2 hours 30 minutes,['Biography'],['Anil Kulchainiya'],"['Krishna Bhatt', 'Gajendra Chauhan', 'Milind Gunaji']",[],India,['Hindi']
Rishta Likhenge Hum Naya,7.2,,,,22 minutes,"['Drama', 'Mystery', 'Romance']",[],"['Tejasswi Prakash', 'Rohit Suchanti', 'Anjali Gupta']",[],,['Hindi']
