Movie Name, IMDb Rating, Popularity, Release Date, Box Office, Runtime, Genre, Director, Cast, Production Company, Country, Language
The Kerala Story Bangla,6.5,,,,12 minutes,"['Short', 'Drama']",['Satyajit Das'],[],[],,['Bengali']
Generation Z,,,,,,"['Horror', 'Comedy']",[],"['Chris Reilly', 'Ellora Torchia', 'Viola Prettejohn']","['All3Media International', 'The Forge', 'Zweites Deutsches Fernsehen (ZDF)']",,[]
Criminal Justice: Adhura Sach,7.7,,"August 26, 2022 (India)",,45 minutes,"['Crime', 'Drama', 'Mystery']",[],"['Pankaj Tripathi', 'Swastika Mukherjee', 'Purab Kohli']","['Applause Entertainment Ltd.', 'BBC Studios']",India,['Hindi']
Madhil Mel Kaadhal,,,,,,['Romance'],['Anjana Ali Khan'],"['Mugen Rao', 'Divya Bharathi', 'Sakshi Agarwal']",[],,['Tamil']
Saawariya,5.2,,"November 9, 2007 (India)","$18,525,631",2 hours 22 minutes,"['Drama', 'Musical', 'Romance']",['Sanjay Leela Bhansali'],"['Ranbir Kapoor', 'Sonam Kapoor', 'Salman Khan']","['SPE Films', 'SLB Films Pvt. Ltd.']",,['Hindi']
Teri Baaton Mein Aisa Uljha Jiya,7.1,25,"February 9, 2024 (India)","$1,309,068",2 hours 21 minutes,"['Comedy', 'Drama', 'Romance']","['Amit Joshi', 'Aradhana Sah']","['Shahid Kapoor', 'Kriti Sanon', 'Dharmendra']","['Jio Studios', 'Maddock Films']",India,['Hindi']
Sadma,8.3,,"July 8, 1983 (India)",,2 hours 21 minutes,"['Drama', 'Romance']",['Balu Mahendra'],"['Kamal Haasan', 'Sridevi', 'Gulshan Grover']",[],India,['Hindi']
Bride & Prejudice,6.2,,"October 8, 2004 (India)","$24,716,440",2 hours 2 minutes,"['Comedy', 'Drama', 'Musical']",['Gurinder Chadha'],"['Martin Henderson', 'Aishwarya Rai Bachchan', 'Nadira Babbar']","['Pathé Pictures International', 'UK Film Council', 'Kintop Pictures']",,"['English', 'Hindi', 'Punjabi', 'Spanish']"
Sarfarosh,8.1,,"April 30, 1999 (India)","$288,733",2 hours 54 minutes,"['Action', 'Crime', 'Drama']",['John Mathew Matthan'],"['Naseeruddin Shah', 'Aamir Khan', 'Sonali Bendre']",[],India,['Hindi']
Eega,7.7,,"July 6, 2012 (India)",,2 hours 25 minutes,"['Action', 'Comedy', 'Drama']",['S.S. Rajamouli'],"['Sudeep', 'Nani', 'Samantha Ruth Prabhu']","['PVP Cinema', 'Vaarahi Chalana Chitram', 'Vel Records']",India,"['Telugu', 'Tamil']"
Who Am I,8.6,,"February 3, 2023 (India)",,1 hour 59 minutes,['Drama'],['Shireesh Khemariya'],"['Gaurav Kamble', 'Rishika Chandani', 'Mayank Jadhav']",[],India,['Hindi']
Conjuring Kannappan,6.1,,,"$20,978",2 hours 20 minutes,['Horror'],['Selvin Raj Xavier'],"['Sathish', 'Regina Cassandra', 'Nassar']",[],,"['Kannada', 'Malayalam', 'Telugu', 'Tamil']"
Maachis,7.7,,"October 25, 1996 (India)",,2 hours 40 minutes,"['Action', 'Crime', 'Drama']",['Gulzar'],"['Om Puri', 'Tabu', 'Chandrachur Singh']",[],India,['Hindi']
Vaalvi,8.3,,"January 13, 2023 (India)",$660,1 hour 46 minutes,"['Comedy', 'Drama', 'Thriller']",['Paresh Mokashi'],"['Swapnil Joshi', 'Anita Date-Kelkar', 'Namrata Awate Sambherao']","['Mayasabha Productions', 'Zee Studios']",India,['Marathi']
Arjun Reddy,7.9,,"August 25, 2017 (India)","$145,522",3 hours 2 minutes,"['Action', 'Drama', 'Romance']",['Sandeep Reddy Vanga'],"['Vijay Deverakonda', 'Shalini Pandey', 'Jia Sharma']",[],India,['Telugu']
Chamatkar,6.5,,"July 8, 1992 (India)",,2 hours 51 minutes,"['Comedy', 'Drama', 'Fantasy']",['Rajiv Mehra'],"['Naseeruddin Shah', 'Shah Rukh Khan', 'Urmila Matondkar']","['Eagle Films', 'United Producers']",India,['Hindi']
The Mistress of Spices,5.5,,"April 28, 2006 (India)","$1,337,846",1 hour 32 minutes,"['Drama', 'Romance']",['Paul Mayeda Berges'],"['Aishwarya Rai Bachchan', 'Dylan McDermott', 'Nitin Ganatra']","['Kintop Pictures', 'Balle Pictures', 'Capitol Films']",,['English']
Vela,8.2,,"November 10, 2023 (India)",,2 hours 28 minutes,"['Drama', 'Thriller']",['Syam Sasi'],"['Shane Nigam', 'Sunny Wayne', 'Aditi Balan']","['Badusha Productions', 'Cyn-Cyl Celluloid']",India,['Malayalam']
Taanakkaran,8.1,,"April 8, 2022 (India)",,2 hours 21 minutes,"['Drama', 'Sport']",['Tamizh'],"['Vikram Prabhu', 'Anbuarasan', 'M.S. Bhaskar']","['Dream Warrior Pictures', 'Potential Studios']",India,['Tamil']
Animal,6.3,41,"December 1, 2023 (India)","$92,870,227",3 hours 24 minutes,"['Action', 'Crime', 'Drama']",['Sandeep Reddy Vanga'],"['Ranbir Kapoor', 'Anil Kapoor', 'Bobby Deol']","['Bhadrakali Pictures', 'Cars on Film', 'Cine1 Studios']",India,['Hindi']
Khuda Haafiz,7.1,,"August 14, 2020 (India)",,2 hours 13 minutes,"['Action', 'Crime', 'Drama']",['Faruk Kabir'],"['Vidyut Jammwal', 'Shivaleeka Oberoi', 'Annu Kapoor']",[],India,['Hindi']
Shemale,6.1,,,,,['Drama'],[],"['Shobha Girdar', 'Abraham Khan', 'Gaurav Kumar']",[],,['Hindi']
Dhamaka,7.0,,"November 19, 2021 (India)",,1 hour 43 minutes,"['Action', 'Crime', 'Drama']","['Ram Madhvani', 'Heavenveer Singh Hayer']","['Kartik Aaryan', 'Mrunal Thakur', 'Amruta Subhash']","['Globalgate Entertainment', 'Lotte Entertainment', 'RSVP']",India,['Hindi']
Force,6.5,,"September 30, 2011 (India)","$5,310,437",2 hours 17 minutes,"['Action', 'Crime', 'Drama']",['Nishikant Kamat'],"['John Abraham', 'Genelia Deshmukh', 'Vidyut Jammwal']","['Fox STAR Studios', 'Sunshine Pictures', 'Cinema Capital Venture Fund']",India,"['Hindi', 'Punjabi', 'Marathi', 'English']"
Six-Nine-Five,7.2,,,,2 hours 17 minutes,"['Adventure', 'History']","['Rajneesh Berry', 'Yogesh Bhardwaj']","['Garima Agarwal', 'Gajendra Chauhan', 'Rakesh Dube']",[],,['Hindi']
Laapataa Ladies,9.1,,"March 1, 2024 (India)",,2 hours 2 minutes,"['Comedy', 'Drama']",['Kiran Rao'],"['Atishay Jain Akhil', 'Shivam Ghawariya', 'Nitanshi Goel']","['Jio Studios', 'Aamir Khan Productions', 'Kindling Productions']",India,['Hindi']
Kulche Chole,8.7,,"November 11, 2022 (India)","$24,440",2 hours 6 minutes,"['Comedy', 'Romance']",['Simranjit Singh Hundal'],"['Dilraj Grewal', 'Jannat Zubair Rahmani', 'Jaswant Singh Rathore']",[],India,['Punjabi']
Humpty Sharma Ki Dulhania,6.0,,"July 11, 2014 (India)","$13,669,988",2 hours 13 minutes,"['Comedy', 'Drama', 'Romance']",['Shashank Khaitan'],"['Varun Dhawan', 'Alia Bhatt', 'Ashutosh Rana']",[],India,"['Hindi', 'English']"
Bhakshak,7.2,50,,,2 hours 14 minutes,"['Crime', 'Drama']",['Pulkit'],"['Bhumi Pednekar', 'Sanjay Mishra', 'Aditya Srivastav']",[],,['Hindi']
Meri Aashiqui Tum Se Hi,6.2,,"June 24, 2014 (India)",,20 minutes,['Drama'],[],"['Shakti Arora', 'Radhika Madan', 'Shahab Khan']",[],India,[]
Aparajito,8.2,,"October 11, 1956 (India)","$134,241",1 hour 50 minutes,['Drama'],['Satyajit Ray'],"['Pinaki Sengupta', 'Smaran Ghosal', 'Kamala Adhikari']",[],India,['Bengali']
Premwaari,8.0,,,,2 hours 24 minutes,['Drama'],"['Rajendra Kachru Gaikwad', 'Dilip Dombe', 'Shriprasad Pawar']","['Abhijeet Chavan', 'Rajendra Kachru Gaikwad', 'Bharat Ganeshpure']",[],,['Marathi']
Petta,7.1,,"January 10, 2019 (India)","$1,996,655",2 hours 51 minutes,"['Action', 'Drama']",['Karthik Subbaraj'],"['Rajinikanth', 'Vijay Sethupathi', 'Nawazuddin Siddiqui']",[],India,['Tamil']
Crash Course,7.3,,"August 5, 2022 (India)",,45 minutes,['Drama'],[],"['Annu Kapoor', 'Bhanu Uday', 'Udit Arora']",[],India,['Hindi']
Tamasha,7.3,,"November 27, 2015 (India)","$15,159,762",2 hours 19 minutes,"['Comedy', 'Drama', 'Romance']",['Imtiaz Ali'],"['Deepika Padukone', 'Ranbir Kapoor', 'Arushi Sharma']",[],India,['Hindi']
Hate Story IV,3.4,,"March 9, 2018 (India)","$78,134",2 hours 11 minutes,"['Crime', 'Drama', 'Thriller']",['Vishal Pandya'],"['Urvashi Rautela', 'Manoj Anand', 'Jack Armstrong']",[],India,['Hindi']
Karan Arjun,6.8,,"January 13, 1995 (India)",,2 hours 55 minutes,"['Action', 'Drama', 'Fantasy']",['Rakesh Roshan'],"['Rakhee Gulzar', 'Salman Khan', 'Shah Rukh Khan']",[],India,['Hindi']
Mirch Masala,7.7,,"February 13, 1987 (India)",,2 hours 8 minutes,"['Drama', 'Thriller']",['Ketan Mehta'],"['Smita Patil', 'Naseeruddin Shah', 'Om Puri']","['Channel Four Films', 'National Film Development Corporation of India (NFDC)']",India,['Hindi']
12th Fail,9.1,54,"October 27, 2023 (India)","$138,288",2 hours 27 minutes,"['Biography', 'Drama']",['Vidhu Vinod Chopra'],"['Vikrant Massey', 'Medha Shankr', 'Joshi Anantvijay']","['Vinod Chopra Films', 'Zee Studios']",India,"['Hindi', 'Malayalam', 'Tamil', 'Telugu', 'Kannada']"
Ziddi,5.9,,"April 11, 1997 (India)",,2 hours 50 minutes,"['Action', 'Drama']",['Guddu Dhanoa'],"['Sunny Deol', 'Raveena Tandon', 'Anupam Kher']",[],India,['Hindi']
Current Affairs,,,,,34 minutes,['Romance'],[],[],[],,['Hindi']
Baipan Bhari Deva,8.3,,"June 30, 2023 (India)","$798,391",2 hours 17 minutes,"['Comedy', 'Drama', 'Family']",['Kedar Shinde'],"['Nutan Aasgaonkar', 'Suruchi Adarkar', 'Suchitra Bandekar']","['Emveebee Media', 'Jio Studios', 'Screenshots']",India,['Marathi']
Raman Raghav 2.0,7.3,,"June 24, 2016 (India)","$7,612",2 hours 13 minutes,"['Crime', 'Drama', 'Thriller']",['Anurag Kashyap'],"['Nawazuddin Siddiqui', 'Vicky Kaushal', 'Sobhita Dhulipala']",[],India,['Hindi']
Chal Mera Putt 3,6.9,,"October 1, 2021 (India)","$2,328,987",2 hours 10 minutes,['Comedy'],['Janjot Singh'],"['Amrinder Gill', 'Simi Chahal', 'Nasir Chinyoti']",[],India,['Punjabi']
Joseph,8.0,,"November 16, 2018 (India)",,2 hours 18 minutes,"['Crime', 'Drama', 'Thriller']",['M. Padmakumar'],"['Joju George', 'Athmeeya Rajan', 'Dileesh Pothan']","['Appu Pathu Pappu Production House', 'Dream Shots Cinema']",India,['Malayalam']
Vikram Vedha,7.1,,"September 30, 2022 (India)","$8,234,166",2 hours 40 minutes,"['Action', 'Crime', 'Drama']","['Gayatri', 'Pushkar']","['Saif Ali Khan', 'Hrithik Roshan', 'Radhika Apte']","['Y Not Studios', 'Friday Filmworks', 'T-Series']",India,['Hindi']
Baaghi 4,,,,,,"['Action', 'Drama', 'Thriller']",[],[],[],,[]
Black Stone,7.6,,"August 24, 1979 (India)",,2 hours 56 minutes,"['Action', 'Drama', 'History']",['Yash Chopra'],"['Amitabh Bachchan', 'Shashi Kapoor', 'Shatrughan Sinha']",[],India,['Hindi']
Trapped,7.5,,"March 17, 2017 (India)","$436,529",1 hour 45 minutes,"['Drama', 'Thriller']",['Vikramaditya Motwane'],"['Rajkummar Rao', 'Geetanjali Thapa', 'Shiladitya Sen']",[],India,['Hindi']
Jhimma,7.5,,"November 19, 2021 (India)",,2 hours 10 minutes,"['Comedy', 'Drama']",['Hemant Dhome'],"['Namratha Anap', 'Akshata Apte', 'Suchitra Bandekar']","['AVK Entertainment', 'Chalchitra Company', 'Crazy Few Films']",India,['Marathi']
Mahabharat,9.0,,"September 16, 2013 (India)",,20 minutes,"['Drama', 'History', 'War']",[],"['Saurabh Raj Jain', 'Shaheer Sheikh', 'Pooja Sharma']",[],India,['Hindi']
Fighter,7.0,58,"January 25, 2024 (India)","$3,781,215",2 hours 46 minutes,"['Action', 'Adventure', 'Thriller']",['Siddharth Anand'],"['Deepika Padukone', 'Hrithik Roshan', 'Anil Kapoor']","['Betterfly Films', 'Marlix Pictures', 'Prime Focus']",India,"['Hindi', 'English']"
Typewriter,6.5,,"July 19, 2019 (India)",,48 minutes,"['Horror', 'Mystery', 'Thriller']",[],"['Aarnaa Sharma', 'Palomi Ghosh', 'Mikail Gandhi']",[],India,['Hindi']
Mehndi Hai Rachne Waali,7.5,,"February 15, 2021 (India)",,24 minutes,"['Drama', 'Romance']",[],"['Jitendra Pol', 'Ashok Phal Dessai', 'Nirjar Patel']",[],India,['Hindi']
Ram Setu,5.3,,"October 25, 2022 (India)","$318,623",2 hours 20 minutes,"['Action', 'Adventure']",['Abhishek Sharma'],"['Akshay Kumar', 'Jacqueline Fernandez', 'Nushrratt Bharuccha']","['Abundantia Entertainment', 'Amazon Prime Video', 'Cape of Good Films']",India,['Hindi']
Metro... In Dhino,,,"September 13, 2024 (India)",,,"['Drama', 'Romance']",['Anurag Basu'],"['Anupam Kher', 'Ali Fazal', 'Pankaj Tripathi']","['Anurag Basu Productions', 'T Series']",India,['Hindi']
Runway 34,7.0,,"April 29, 2022 (India)","$4,062,826",2 hours 25 minutes,"['Drama', 'Thriller']",['Ajay Devgn'],"['Ajay Devgn', 'Amitabh Bachchan', 'Rakul Preet Singh']",[],India,['Hindi']
Bhagavanth Kesari,6.0,,"October 19, 2023 (India)","$88,320",2 hours 44 minutes,"['Action', 'Drama', 'Thriller']",['Anil Ravipudi'],"['Nandamuri Balakrishna', 'Arjun Rampal', 'Kajal Aggarwal']",[],India,['Telugu']
Gulabo Sitabo,6.3,,"June 12, 2020 (India)",,2 hours 4 minutes,"['Comedy', 'Drama']","['Shoojit Sircar', 'Kuran Dhillon']","['Amitabh Bachchan', 'Ayushmann Khurrana', 'Vijay Raaz']","['Kino Works', 'Rising Sun Films']",India,['Hindi']
Monsoon Wedding,7.3,,"November 30, 2001 (India)","$30,787,356",1 hour 54 minutes,"['Comedy', 'Drama', 'Romance']",['Mira Nair'],"['Naseeruddin Shah', 'Lillete Dubey', 'Shefali Shah']","['IFC Productions', 'Mirabai Films', 'Pandora Filmproduktion']",,"['Hindi', 'English']"
Mystery of the Tattoo,9.1,,"September 1, 2023 (India)",,1 hour 56 minutes,['Thriller'],['Kalaiarasi Sathappan'],"['Rohit R. Verma', 'Arjun Rampal', 'Daisy Shah']","['Kashish Khan Production', 'Tattoo Film Production']",India,['Hindi']
Chaal Jeevi Laiye,8.8,,"March 15, 2019 (Australia)","$100,113",2 hours 17 minutes,['Drama'],['Vipul Mehta'],"['Siddharth Randeria', 'Yash Soni', 'Aarohi Patel']",[],India,"['Gujarati', 'Hindi', 'Marathi']"
Amritsar Junction,,,,,28 minutes,"['Short', 'Drama', 'Thriller']",['Aditya Suhas Jambhale'],[],[],,['Punjabi']
Fanaa,7.1,,"May 26, 2006 (India)","$22,181,516",2 hours 48 minutes,"['Action', 'Drama', 'Romance']",['Kunal Kohli'],"['Aamir Khan', 'Kajol', 'Rishi Kapoor']",[],India,"['Hindi', 'Indonesian', 'Italian']"
Mahanagar,8.3,,"September 27, 1963 (India)",,2 hours 11 minutes,['Drama'],['Satyajit Ray'],"['Anil Chatterjee', 'Madhavi Mukherjee', 'Jaya Bachchan']",[],India,"['Bengali', 'English']"
Deadpool 2,7.6,68,"May 18, 2018 (India)","$785,896,609",1 hour 59 minutes,"['Action', 'Adventure', 'Comedy']",['David Leitch'],"['Ryan Reynolds', 'Josh Brolin', 'Morena Baccarin']","['Twentieth Century Fox', 'Marvel Entertainment', 'Kinberg Genre']",,"['English', 'Cantonese', 'Spanish', 'Russian']"
OMG: Oh My God!,8.1,,"September 28, 2012 (India)","$12,140,087",2 hours 5 minutes,"['Comedy', 'Drama', 'Fantasy']",['Umesh Shukla'],"['Paresh Rawal', 'Akshay Kumar', 'Mithun Chakraborty']","['Grazing Goat Pictures', 'Playtime Creations', 'Spice Studios']",India,['Hindi']
Photograph,6.8,,"March 15, 2019 (India)","$996,171",1 hour 50 minutes,"['Drama', 'Romance']",['Ritesh Batra'],"['Nawazuddin Siddiqui', 'Sanya Malhotra', 'Sachin Khedekar']","['Poetic License Production', 'Film Science', 'Pola Pandora Filmproduktions']",,"['Hindi', 'English']"
Pyaar Tune Kya Kiya,7.4,,"March 30, 2014 (India)",,,"['Drama', 'Romance']",[],"['Mausam Dubey', 'Kajal Chauhan', 'Surbhi Jyoti']",[],India,['Hindi']
Raat Akeli Hai,7.2,,"July 31, 2020 (India)",,2 hours 29 minutes,"['Crime', 'Drama', 'Mystery']",['Honey Trehan'],"['Ashish Chhipa', 'Nawazuddin Siddiqui', 'Radhika Apte']","['MacGuffin Pictures', 'RSVP']",India,['Hindi']
Hera Pheri 3,,,,,,[],['Farhad Samji'],"['Akshay Kumar', 'Paresh Rawal', 'Suniel Shetty']",[],,['Hindi']
Pulimurugan,6.7,,"October 7, 2016 (India)","$136,052",2 hours 41 minutes,"['Action', 'Thriller']",['Vysakh'],"['Mohanlal', 'Jagapathi Babu', 'Kamalinee Mukherjee']",[],India,"['Malayalam', 'Tamil', 'Telugu']"
Down Underdogs,9.4,,"January 14, 2022 (India)",,57 minutes,"['Documentary', 'Sport']",[],"['Harsha Bhogle', 'Sunil Gavaskar', 'Isa Guha']",[],India,"['English', 'Hindi']"
Kabhie Kabhie,7.1,,"February 27, 1976 (India)",,2 hours 57 minutes,"['Drama', 'Romance']",['Yash Chopra'],"['Amitabh Bachchan', 'Shashi Kapoor', 'Rakhee Gulzar']",[],India,"['Hindi', 'Urdu']"
Mere Mehboob Mere Sanam,,,,,,"['Comedy', 'Romance']",['Anand Tiwari'],"['Triptii Dimri', 'Vicky Kaushal', 'Sanya Malhotra']","['Dharma Productions', 'Leo Media Collective']",India,[]
The Good Lie,7.4,,"November 7, 2014 (South Africa)","$3,396,345",1 hour 50 minutes,"['Biography', 'Drama']",['Philippe Falardeau'],"['Reese Witherspoon', 'Arnold Oceng', 'Ger Duany']","['Alcon Entertainment', 'Black Label Media', 'Blue Sky Films']",,['English']
Neeyat,5.3,,"July 7, 2023 (India)","$75,652",2 hours 14 minutes,"['Crime', 'Mystery', 'Thriller']",['Anu Menon'],"['Vidya Balan', 'Ram Kapoor', 'Rahul Bose']","['Abundantia Entertainment', 'Amazon Prime Video', 'Riddle Films Production']",India,['Hindi']
Dunki,6.9,79,"December 21, 2023 (India)","$15,473,051",2 hours 40 minutes,"['Comedy', 'Drama']",['Rajkumar Hirani'],"['Taapsee Pannu', 'Ryan Cretney', 'Priya Sindher']","['Jio Studios', 'Rajkumar Hirani Films', 'Red Chillies Entertainment']",India,['Hindi']
Rafuchakkar,6.4,,"June 15, 2023 (India)",,34 minutes,"['Action', 'Drama', 'Thriller']",[],"['Maniesh Paul', 'Priya Bapat', 'Aksha Pardasany']",[],India,"['Tamil', 'Telugu', 'Kannada', 'Malayalam', 'Marathi', 'Bengali', 'Bhojpuri', 'Hindi']"
Indrasena,5.3,,,"$29,144",2 hours 9 minutes,"['Action', 'Drama']",['Sreenivasan'],"['Vijay Antony', 'Diana Champika', 'Jewel Mary']","['R Studios', 'Vijay Anthony Film Corporation']",,['Tamil']
Kuruthi,7.5,,"August 11, 2021 (India)",,2 hours 2 minutes,['Thriller'],['Manu Warrier'],"['Prithviraj Sukumaran', 'Roshan Mathew', 'Mammukoya']",[],India,['Malayalam']
Call Jane,6.5,,"October 28, 2022 (United States)","$736,893",2 hours 1 minute,"['Drama', 'History']",['Phyllis Nagy'],"['Elizabeth Banks', 'Sigourney Weaver', 'Chris Messina']","['Ingenious Media', 'RB Entertainment Production', 'Redline Entertainment']",,['English']
Action Jackson,3.4,,"December 5, 2014 (India)","$11,060,963",2 hours 24 minutes,"['Action', 'Crime', 'Thriller']",['Prabhu Deva'],"['Shahid Kapoor', 'Prabhas', 'Ajay Devgn']","['Baba Films', 'Eros Worldwide']",,['Hindi']
Dybbuk: The Curse Is Real,5.0,,"October 29, 2021 (India)",,1 hour 52 minutes,"['Drama', 'Horror']",['Jay.k'],"['Emraan Hashmi', 'Nikita Dutta', 'Manav Kaul']","['Panorama Studios', 'T-Series Films', 'T-Series and Panorama Studios']",India,['Hindi']
Humraaz,6.4,,"July 26, 2002 (India)","$5,715,460",2 hours 53 minutes,"['Romance', 'Thriller']","['Abbas Alibhai Burmawalla', 'Mastan Alibhai Burmawalla']","['Bobby Deol', 'Akshaye Khanna', 'Ameesha Patel']","['Venus Films', 'Venus Records & Tapes']",India,['Hindi']
The Intern,,,,,,"['Comedy', 'Drama', 'Thriller']",['Amit Ravindernath Sharma'],[],"['Athena Entertainment', 'Azure Entertainment', 'Chrome Pictures']",India,['Hindi']
105 Minuttess,8.4,,,,2 hours,"['Horror', 'Thriller']",['Raju Dussa'],[],"['Monk Films', 'Monk Films', 'Rudransh Celluloid']",,['Telugu']
Monkey Man,,95,"April 5, 2024 (India)",,1 hour 53 minutes,"['Action', 'Thriller']",['Dev Patel'],"['Dev Patel', 'Sharlto Copley', 'Pitobash']","['Universal Pictures', 'BRON Studios', 'Creative Wealth Media Finance']",,['English']
Karthik Calling Karthik,7.1,,"February 26, 2010 (India)","$3,627,172",2 hours 15 minutes,"['Drama', 'Mystery', 'Romance']",['Vijay Lalwani'],"['Farhan Akhtar', 'Deepika Padukone', 'Ram Kapoor']","['Eros Worldwide', 'Excel Entertainment', 'Magic Beans']",India,"['Hindi', 'Urdu']"
Blackia 2,,,,,,[],"['Bobby Aujla', 'Navaniat Singh']","['Raj Singh Jhinjar', 'Paramveer Singh', 'Kumar Ajay']","['Dhillon Bros Entertainment', 'Ohri Productions pvt ltd', 'Yellow Music']",,['Punjabi']
Looop Lapeta,5.2,,"February 4, 2022 (India)",,2 hours 11 minutes,"['Action', 'Comedy', 'Crime']",['Aakash Bhatia'],"['Taapsee Pannu', 'Tahir Raj Bhasin', 'Dibyendu Bhattacharya']","['Sony Pictures Releasing', 'Columbia Pictures', 'Ellipsis Entertainment']",India,['Hindi']
36 China Town,5.7,,"April 21, 2006 (India)","$581,202",2 hours 20 minutes,"['Comedy', 'Mystery', 'Thriller']",[],"['Akshaye Khanna', 'Shahid Kapoor', 'Kareena Kapoor']",[],India,['Hindi']
Planes: Fire & Rescue,5.9,,"July 18, 2014 (India)","$146,965,787",1 hour 23 minutes,"['Animation', 'Adventure', 'Comedy']",['Bobs Gannaway'],"['Dane Cook', 'Ed Harris', 'Julie Bowen']","['Disneytoon Studios', 'Walt Disney Pictures', 'Prana Studios']",,"['North American Indian', 'English', 'Russian']"
Boom,2.3,,"September 19, 2003 (India)","$1,550,273",1 hour 40 minutes,"['Crime', 'Thriller']",['Kaizad Gustad'],"['Amitabh Bachchan', 'Jackie Shroff', 'Gulshan Grover']",[],India,"['English', 'Hindi', 'Marathi']"
Endraavathu Oru Naal,6.6,,,,1 hour 48 minutes,['Drama'],['Vetri Duraisamy'],[],[],,['Tamil']
Currency Nagar,9.1,,,,2 hours 5 minutes,"['Drama', 'Romance', 'Thriller']",['Vennela Kumar Pothepalli'],"['Sudharshan', 'Goutham Kumar', 'Mahesh Yadlapalli']",[],,['Telugu']
Suhaag,5.7,,"October 20, 1994 (India)",,2 hours 25 minutes,"['Action', 'Comedy', 'Drama']",['Kuku Kohli'],"['Ajay Devgn', 'Akshay Kumar', 'Karisma Kapoor']",[],India,['Hindi']
Vinodhaya Sitham,8.0,,"October 13, 2021 (India)",,1 hour 37 minutes,"['Comedy', 'Drama']",['Samuthirakani'],"['Munishkanth', 'Thambi Ramaiah', 'Sheriina Sam']",[],India,['Tamil']
Yeh Hai Mohabbatein,4.5,,"December 3, 2013 (India)",,20 minutes,['Drama'],[],"['Divyanka Tripathi', 'Karan Patel', 'Ruhanika Dhawan']",[],India,['Hindi']
Nayi Naveli,7.3,,"January 25, 2021 (India)",,20 minutes,['Drama'],[],"['Ranjeet Jha', 'Sweksha Sahu', 'Ajay Bafna']",[],India,['Hindi']
Ready Player One,7.4,122,"March 30, 2018 (India)","$607,874,134",2 hours 20 minutes,"['Action', 'Adventure', 'Sci-Fi']",['Steven Spielberg'],"['Tye Sheridan', 'Olivia Cooke', 'Ben Mendelsohn']","['Warner Bros.', 'Amblin Entertainment', 'Village Roadshow Pictures']",,['English']
Manmarziyaan,6.9,,"September 14, 2018 (India)","$1,016,545",2 hours 36 minutes,"['Comedy', 'Drama', 'Romance']",['Anurag Kashyap'],"['Taapsee Pannu', 'Abhishek Bachchan', 'Vicky Kaushal']","['Colour Yellow Productions', 'Phantom Films']",India,['Hindi']
Swatantra Veer Savarkar,,,"March 22, 2024 (India)",,,"['Biography', 'Drama']",['Randeep Hooda'],"['Randeep Hooda', 'Ankita Lokhande', 'Apinderdeep Singh']","['Anand Pandit Motion Pictures', 'Avak Films', 'Legend Global Studio']",India,['Hindi']
Shaitaan,,,"March 8, 2024 (India)",,,"['Horror', 'Thriller']",['Vikas Bahl'],"['Ajay Devgn', 'Madhavan', 'Janki Bodiwala']","['Jio Studios', 'Ajay Devgn Ffilms', 'Panorama Studios']",India,['Hindi']
Mission Kashmir,6.6,,"October 27, 2000 (India)",,2 hours 34 minutes,"['Action', 'Drama', 'Thriller']",['Vidhu Vinod Chopra'],"['Sanjay Dutt', 'Hrithik Roshan', 'Preity G Zinta']","['Destination Films', 'Vinod Chopra Productions']",India,"['Hindi', 'Urdu', 'English']"
Angel Apartment,,,,,,['Drama'],[],"['Ruby Bharaj', 'Shipra Dwivedi', 'Kanika Gupta']",[],,['Hindi']
The Elephant Whisperers,7.5,,,,41 minutes,"['Documentary', 'Short']",['Kartiki Gonsalves'],[],[],,['Tamil']
Bhool Bhulaiyaa,7.4,,"October 12, 2007 (India)","$19,073,095",2 hours 39 minutes,"['Comedy', 'Horror', 'Mystery']",['Priyadarshan'],"['Akshay Kumar', 'Vidya Balan', 'Shiney Ahuja']",[],India,"['Hindi', 'Bengali']"
Cooku with Comali,9.4,,"November 16, 2019 (India)",,,['Reality-TV'],[],"['Rakshan', 'Sivaangi Krishnakumar', 'Damodharan K.']",[],India,['Tamil']
Biriyaani,7.2,,"March 26, 2021 (India)",,1 hour 35 minutes,['Drama'],['Sajin Baabu'],"['Kani Kusruti', 'Shailaja Jala', 'Anil Nedumangad']",[],India,['Malayalam']
Salaar,6.5,123,"December 22, 2023 (India)","$11,958,548",2 hours 55 minutes,"['Action', 'Crime', 'Drama']",['Prashanth Neel'],"['Prabhas', 'Prithviraj Sukumaran', 'Shruti Haasan']",[],India,"['Hindi', 'Malayalam', 'Kannada', 'Tamil', 'Telugu']"
Bunty Aur Babli 2,4.1,,"November 19, 2021 (India)","$431,313",2 hours 18 minutes,"['Comedy', 'Romance']",['Varun V. Sharma'],"['Saif Ali Khan', 'Rani Mukerji', 'Siddhant Chaturvedi']",[],India,['Hindi']
Maamla Legal Hai,,,,,,"['Comedy', 'Drama']",[],"['Rrama Sharma', 'Ravi Kishan', 'Naila Grewal']",[],,['Hindi']
Maharani,7.9,"4,007","May 28, 2021 (India)",,43 minutes,['Drama'],[],"['Huma Qureshi', 'Uday Atroliya', 'Sohum Shah']","['Kangra Talkies', 'Sonyliv', 'Zeal Z Entertainment services']",India,['Hindi']
